Year,Value,Variety,Continent
2000,Solar PV,125,Europe
2005,Solar PV,1488,Europe
2010,Solar PV,22668,Europe
2015,Solar PV,105745,Europe
2018,Solar PV,135642,Europe
1990,Solar PV,70,Asia
1995,Solar PV,132,Asia
2000,Solar PV,433,Asia
2005,Solar PV,1620,Asia
2010,Solar PV,5620,Asia
2015,Solar PV,103279,Asia
2018,Solar PV,309461,Asia
1990,Solar PV,4,North America
1995,Solar PV,13,North America
2000,Solar PV,206,North America
2005,Solar PV,550,North America
2010,Solar PV,3349,North America
2015,Solar PV,35225,North America
2018,Solar PV,86896,North America
1990,Solar PV,805,South America
1995,Solar PV,1221,South America
2000,Solar PV,2098,South America
2005,Solar PV,2636,South America
2010,Solar PV,3274,South America
2015,Solar PV,3857,South America
2018,Solar PV,4124,South America
1990,Solar PV,68,Oceania
1995,Solar PV,124,Oceania
2000,Solar PV,400,Oceania
2005,Solar PV,1514,Oceania
2010,Solar PV,4775,Oceania
2015,Solar PV,44948,Oceania
2018,Solar PV,104703,Oceania
1990,Solar PV,0,Africa
1995,Solar PV,6,Africa
2000,Solar PV,232,Africa
2005,Solar PV,819,Africa
2010,Solar PV,2373,Africa
2015,Solar PV,8555,Africa
2018,Solar PV,14171,Africa
1990,Other sources,348,Europe
1995,Other sources,823,Europe
2000,Other sources,1502,Europe
2005,Other sources,10553,Europe
2010,Other sources,4632,Europe
2015,Other sources,6184,Europe
2018,Other sources,6052,Europe
1990,Other sources,19591,Asia
1995,Other sources,23041,Asia
2000,Other sources,20068,Asia
2005,Other sources,20836,Asia
2010,Other sources,21263,Asia
2015,Other sources,21956,Asia
2018,Other sources,21006,Asia
1990,Other sources,26,North America
1995,Other sources,33,North America
2000,Other sources,32,North America
2005,Other sources,28,North America
2010,Other sources,28,North America
2015,Other sources,13,North America
2018,Other sources,20,North America
1990,Other sources,0,South America
1995,Other sources,0,South America
2000,Other sources,372,South America
2005,Other sources,805,South America
2010,Other sources,495,South America
2015,Other sources,390,South America
2018,Other sources,447,South America
1990,Other sources,0,Oceania
1995,Other sources,0,Oceania
2000,Other sources,0,Oceania
2005,Other sources,1,Oceania
2010,Other sources,3,Oceania
2015,Other sources,4,Oceania
2018,Other sources,4,Oceania
1990,Other sources,0,Africa
1995,Other sources,0,Africa
2000,Other sources,0,Africa
2005,Other sources,0,Africa
2010,Other sources,0,Africa
2015,Other sources,194,Africa
2018,Other sources,1978,Africa
