Year,Continent,Percentual Oil Consumption,AVG Oil Consumption per Person
2016,Asia,45.06758600926103,1.909396
2017,Asia,45.423259008511785,1.86946
2018,Asia,45.693921774577035,1.8712240000000002
2019,Asia,46.351175965400785,1.85188
1965,Africa,1.133026587795661,0.171775
1966,Africa,1.1800010692428462,0.192475
1967,Africa,1.0482731791933315,0.18375
1968,Africa,1.0296645189616471,0.19225
1969,Africa,0.9076862354624434,0.187
1970,Africa,0.9596814973097412,0.20575
1971,Africa,0.9782719615677472,0.21675
1972,Africa,1.002656720993205,0.23225
1973,Africa,0.986011412521626,0.2445
1974,Africa,1.0549135027620071,0.2475
1975,Africa,1.1648348315939596,0.25975
1976,Africa,1.1874706832751345,0.275
1977,Africa,1.2107671853822681,0.284
1978,Africa,1.2339295089150026,0.28974999999999995
1979,Africa,1.2918869809271354,0.30125
1980,Africa,1.4444927731989383,0.306
1981,Africa,1.6603810210476693,0.3215
1982,Africa,1.8471572025389853,0.33299999999999996
1983,Africa,1.9873023130910648,0.34375
1984,Africa,2.0891822715566324,0.36275
1985,Africa,1.7868407617738633,0.354
1986,Africa,1.7177135429417456,0.34224999999999994
1987,Africa,1.7464830653389294,0.34374999999999994
1988,Africa,1.7634608420992868,0.35074999999999995
1989,Africa,1.8139020370177827,0.35925
1990,Africa,1.8541683629284755,0.36325
1991,Africa,1.8387209762768015,0.35324999999999995
1992,Africa,1.8357969519502828,0.35625
1993,Africa,1.8395018049197032,0.34950000000000003
1994,Africa,1.8287616461914145,0.348
1995,Africa,1.885444209689734,0.35075
1996,Africa,1.8804940819652531,0.34625
1997,Africa,1.899354201134266,0.35100000000000003
1998,Africa,1.9459660005424335,0.35325
1999,Africa,1.954457176296791,0.35675
2000,Africa,1.925123049409208,0.3495
2001,Africa,1.9021577602092372,0.3455
2002,Africa,1.916861211728864,0.35100000000000003
2003,Africa,1.9298558358587452,0.35600000000000004
2004,Africa,1.962031734983572,0.374
2005,Africa,2.053117043555275,0.38875
2006,Africa,2.0313833696367367,0.386
2007,Africa,2.1220824380798047,0.403
2008,Africa,2.213131897797082,0.41275
2009,Africa,2.3320064290433167,0.417
2010,Africa,2.3851471260585093,0.43225
2011,Africa,2.3382032219010465,0.43125
2012,Africa,2.394147824514192,0.43875
2013,Africa,2.4163569254108905,0.43975
2014,Africa,2.4636141167660512,0.4372499999999999
2015,Africa,2.5049796265027346,0.4435000000000001
2016,Africa,2.4368495278882927,0.43
2017,Africa,2.345033973557044,0.41725
2018,Africa,2.279343636419688,0.40725
2019,Africa,2.2938738884460004,0.41075
1965,Europe,32.02295368659053,1.077
1966,Europe,32.565260555524915,1.1816538461538462
1967,Europe,32.97456881295618,1.2528076923076925
1968,Europe,33.24584944305148,1.3733846153846154
1969,Europe,34.068172338163855,1.505692307692308
1970,Europe,34.79868123853663,1.6498846153846158
1971,Europe,34.574996271380684,1.707846153846154
1972,Europe,34.37442979030881,1.812384615384615
1973,Europe,34.169250487506716,1.925692307692308
1974,Europe,33.08329106847169,1.7715769230769234
1975,Europe,32.56306474644328,1.721769230769231
1976,Europe,32.50125605878981,1.8237307692307692
1977,Europe,31.162594967279396,1.8149230769230769
1978,Europe,31.84221017853689,1.9010384615384621
1979,Europe,32.080795141632265,1.9146538461538456
1980,Europe,31.742119418287025,1.7768461538461535
1981,Europe,30.982701186877797,1.6603461538461537
1982,Europe,30.575722857939645,1.5630384615384618
1983,Europe,29.85280989396216,1.4991153846153844
1984,Europe,29.206062202479046,1.4955384615384617
1985,Europe,37.9274902800825,1.60953125
1986,Europe,37.859645134590046,1.6574375
1987,Europe,37.32121980501779,1.6542499999999998
1988,Europe,36.103450830460574,1.6373750000000007
1989,Europe,35.57883110530074,1.6473749999999998
1990,Europe,35.654873693822324,1.5801428571428573
1991,Europe,35.10121705176722,1.5481428571428573
1992,Europe,33.64509443055822,1.4835714285714283
1993,Europe,31.681395095193892,1.4416857142857145
1994,Europe,30.042625540630308,1.4352000000000005
1995,Europe,29.40291475827832,1.4178571428571434
1996,Europe,28.44746760969287,1.4645142857142859
1997,Europe,27.737024408591317,1.4611142857142858
1998,Europe,28.0310938245196,1.5041999999999995
1999,Europe,27.383611864541923,1.492457142857143
2000,Europe,26.723495973415844,1.4651714285714288
2001,Europe,26.960927396542814,1.4975428571428573
2002,Europe,26.535985647332787,1.4970857142857144
2003,Europe,26.17352601222549,1.5193999999999996
2004,Europe,25.39735229622273,1.5401428571428577
2005,Europe,25.197472505293003,1.5703714285714283
2006,Europe,25.16631798964832,1.558542857142857
2007,Europe,24.41581776670651,1.5363142857142855
2008,Europe,24.544362350492,1.5129428571428571
2009,Europe,23.87629203241268,1.4154571428571427
2010,Europe,22.98306331145251,1.3963428571428569
2011,Europe,22.446856851120806,1.357457142857143
2012,Europe,21.70587737153933,1.315571428571429
2013,Europe,21.028850629041862,1.2806000000000004
2014,Europe,20.763175192280194,1.2568857142857142
2015,Europe,20.59164029402546,1.2679999999999996
2016,Europe,20.684638204693872,1.2942571428571432
2017,Europe,20.687075330536953,1.3208857142857142
2018,Europe,20.487561070752626,1.332171428571429
2019,Europe,20.323867071813414,1.3179999999999996
1965,North America,47.45003540373042,1.9453333333333331
1966,North America,46.234458260586116,2.017
1967,North America,45.05316033770074,2.094666666666668
1968,North America,44.23472912720965,2.204333333333333
1969,North America,42.84458438174177,2.280666666666667
1970,North America,41.222917276797865,2.3726666666666665
1971,North America,40.4898620803341,2.4133333333333336
1972,North America,40.63998511068455,2.553
1973,North America,39.80000592199047,2.658333333333333
1974,North America,39.802379246419335,2.614
1975,North America,39.99771670967161,2.5500000000000003
1976,North America,40.13550841715745,2.687
1977,North America,40.85834427789328,2.7413333333333334
1978,North America,39.473112889155544,2.7306666666666666
1979,North America,38.472207287863284,2.737
1980,North America,38.34494256106875,2.62
1981,North America,37.82653004631042,2.4563333333333333
1982,North America,37.21345973895614,2.2623333333333338
1983,North America,36.9562929576647,2.1596666666666664
1984,North America,37.18170855841129,2.1919999999999997
1985,North America,31.657870933931626,2.173666666666666
1986,North America,31.800469811958642,2.194333333333333
1987,North America,31.97115762993448,2.2353333333333336
1988,North America,32.174332678584165,2.296
1989,North America,31.90435851240261,2.3223333333333334
1990,North America,30.98018923216368,2.269
1991,North America,30.32376951918287,2.1750000000000003
1992,North America,30.36239918373837,2.1926666666666663
1993,North America,30.80799751008866,2.1770000000000005
1994,North America,31.04566176013508,2.218
1995,North America,30.55675509094089,2.1990000000000003
1996,North America,30.89900013214113,2.241
1997,North America,30.667456604627038,2.273
1998,North America,31.226677947983905,2.303333333333333
1999,North America,31.401892778647795,2.316333333333333
2000,North America,31.448938814269557,2.3190000000000004
2001,North America,31.21466909049829,2.2996666666666665
2002,North America,30.961743844367085,2.293
2003,North America,30.85124123772995,2.3306666666666667
